Street Address,City,State,ZIP Code,Price,Bedrooms,Bathrooms,Square Footage,Property Type,Image_Path
2122 Senter Rd,San Jose,CA,95194,1014000,4,4,2585,Apartment,property_images/apartment_images/apartment_69.jpg
9336 Tully Rd,San Jose,CA,95141,2005000,2,1,3392,Apartment,property_images/apartment_images/apartment_70.jpg
3676 Quimby Rd,San Jose,CA,95125,1669000,2,3,2937,Apartment,property_images/apartment_images/apartment_71.jpg
2758 El Camino Real,San Jose,CA,95151,2919000,2,2,1572,Apartment,property_images/apartment_images/apartment_72.jpg
2678 Muirwood Dr,San Jose,CA,95159,1369000,1,1,2255,Single Family,property_images/single_family_images/single_family_60.jpg
5007 Brophy Ct,San Jose,CA,95174,1464000,1,2,4889,Apartment,property_images/apartment_images/apartment_73.jpg
6888 Pomeroy Ave,San Jose,CA,95153,725000,3,3,4378,Single Family,property_images/single_family_images/single_family_61.jpg
6970 El Camino Real,San Jose,CA,95110,1419000,1,3,4626,Apartment,property_images/apartment_images/apartment_74.jpg
2968 Santa Teresa Blvd,San Jose,CA,95192,1460000,6,3,3667,Apartment,property_images/apartment_images/apartment_75.jpg
7968 South Bascom Ave,San Jose,CA,95120,1442000,4,2,1841,Apartment,property_images/apartment_images/apartment_76.jpg
5490 Almaden Rd,San Jose,CA,95150,2542000,6,3,4930,Single Family,property_images/single_family_images/single_family_62.jpg
1790 King Rd,San Jose,CA,95141,2868000,1,2,1315,Apartment,property_images/apartment_images/apartment_77.jpg
1069 Piedmont Rd,San Jose,CA,95176,617000,3,2,1701,Apartment,property_images/apartment_images/apartment_78.jpg
8633 Lick Mill Blvd,San Jose,CA,95113,2567000,2,2,3617,Single Family,property_images/single_family_images/single_family_63.jpg
4145 Silver Creek Valley Rd,San Jose,CA,95182,1570000,3,4,1897,Apartment,property_images/apartment_images/apartment_79.jpg
7899 King Rd,San Jose,CA,95195,1227000,6,2,1417,Single Family,property_images/single_family_images/single_family_64.jpg
2484 McKee Rd,San Jose,CA,95189,2548000,3,3,4931,Apartment,property_images/apartment_images/apartment_80.jpg
4080 Brophy Ct,San Jose,CA,95191,1718000,4,3,4652,Apartment,property_images/apartment_images/apartment_81.jpg
5733 Muirwood Dr,San Jose,CA,95172,2369000,4,2,3664,Single Family,property_images/single_family_images/single_family_65.jpg
2540 South Bascom Ave,San Jose,CA,95118,655000,1,1,2050,Single Family,property_images/single_family_images/single_family_66.jpg
2144 Lelong St,San Jose,CA,95152,1892000,5,4,3116,Apartment,property_images/apartment_images/apartment_82.jpg
6246 Silver Creek Valley Rd,San Jose,CA,95130,2336000,6,1,4619,Apartment,property_images/apartment_images/apartment_83.jpg
1183 Tully Rd,San Jose,CA,95196,642000,1,1,3306,Apartment,property_images/apartment_images/apartment_84.jpg
5570 King Rd,San Jose,CA,95139,1504000,6,3,4033,Single Family,property_images/single_family_images/single_family_67.jpg
8764 Mabury Rd,San Jose,CA,95132,702000,4,2,1137,Apartment,property_images/apartment_images/apartment_85.jpg
9492 Berryessa Rd,San Jose,CA,95152,2686000,6,1,3729,Single Family,property_images/single_family_images/single_family_68.jpg
5235 McKee Rd,San Jose,CA,95123,1900000,1,2,4763,Single Family,property_images/single_family_images/single_family_69.jpg
4974 Jackson Ave,San Jose,CA,95164,733000,1,3,4670,Apartment,property_images/apartment_images/apartment_86.jpg
8885 King Rd,San Jose,CA,95152,2933000,3,3,3272,Apartment,property_images/apartment_images/apartment_87.jpg
1322 Jackson Ave,San Jose,CA,95179,1280000,5,3,1793,Single Family,property_images/single_family_images/single_family_70.jpg
8000 Pomeroy Ave,San Jose,CA,95170,1029000,5,4,1269,Single Family,property_images/single_family_images/single_family_71.jpg
7590 Fairway Drive,San Jose,CA,95158,1223000,5,2,4925,Single Family,property_images/single_family_images/single_family_72.jpg
8929 Monterey Hwy,San Jose,CA,95120,2515000,3,2,3193,Apartment,property_images/apartment_images/apartment_88.jpg
4729 Pomeroy Ave,San Jose,CA,95170,1131000,1,1,4928,Single Family,property_images/single_family_images/single_family_73.jpg
5483 Lelong St,San Jose,CA,95180,758000,5,1,2495,Single Family,property_images/single_family_images/single_family_74.jpg
9676 Pomeroy Ave,San Jose,CA,95150,1308000,4,4,4487,Single Family,property_images/single_family_images/single_family_75.jpg
3747 Mabury Rd,San Jose,CA,95125,2948000,3,2,2352,Single Family,property_images/single_family_images/single_family_76.jpg
9761 Santa Teresa Blvd,San Jose,CA,95128,1631000,1,1,4564,Apartment,property_images/apartment_images/apartment_89.jpg
8848 Lick Mill Blvd,San Jose,CA,95193,1103000,4,1,1622,Single Family,property_images/single_family_images/single_family_77.jpg
7855 Tully Rd,San Jose,CA,95114,1373000,3,4,1566,Single Family,property_images/single_family_images/single_family_78.jpg
1719 Santa Teresa Blvd,San Jose,CA,95193,1408000,1,3,2467,Single Family,property_images/single_family_images/single_family_79.jpg
7680 Senter Rd,San Jose,CA,95132,2377000,6,3,966,Single Family,property_images/single_family_images/single_family_80.jpg
4290 Muirwood Dr,San Jose,CA,95169,1283000,4,3,1729,Apartment,property_images/apartment_images/apartment_90.jpg
4272 Muirwood Dr,San Jose,CA,95142,2324000,4,2,998,Single Family,property_images/single_family_images/single_family_81.jpg
1874 Silver Creek Valley Rd,San Jose,CA,95123,658000,4,1,1950,Apartment,property_images/apartment_images/apartment_91.jpg
9726 Senter Rd,San Jose,CA,95115,1340000,1,1,3712,Apartment,property_images/apartment_images/apartment_92.jpg
5776 Lick Mill Blvd,San Jose,CA,95114,2527000,1,4,3062,Apartment,property_images/apartment_images/apartment_93.jpg
2993 Mabury Rd,San Jose,CA,95132,1585000,2,3,4018,Apartment,property_images/apartment_images/apartment_94.jpg
8785 Jackson Ave,San Jose,CA,95161,810000,2,3,3153,Apartment,property_images/apartment_images/apartment_95.jpg
5862 Almaden Rd,San Jose,CA,95147,2733000,6,2,3357,Apartment,property_images/apartment_images/apartment_96.jpg
4339 Pomeroy Ave,San Jose,CA,95140,1086000,3,4,879,Single Family,property_images/single_family_images/single_family_82.jpg
6961 Lelong St,San Jose,CA,95119,1004000,6,2,4212,Apartment,property_images/apartment_images/apartment_97.jpg
1808 Tully Rd,San Jose,CA,95126,1614000,2,4,2805,Single Family,property_images/single_family_images/single_family_83.jpg
6399 South Bascom Ave,San Jose,CA,95133,1404000,4,1,1556,Single Family,property_images/single_family_images/single_family_84.jpg
7134 Pomeroy Ave,San Jose,CA,95164,588000,4,2,2025,Single Family,property_images/single_family_images/single_family_85.jpg
1551 Piedmont Rd,San Jose,CA,95140,2884000,4,3,3433,Single Family,property_images/single_family_images/single_family_86.jpg
3239 Santa Teresa Blvd,San Jose,CA,95173,2822000,1,2,2591,Apartment,property_images/apartment_images/apartment_98.jpg
8119 El Camino Real,San Jose,CA,95168,1640000,1,3,3493,Apartment,property_images/apartment_images/apartment_99.jpg
1503 Senter Rd,San Jose,CA,95136,621000,6,4,889,Single Family,property_images/single_family_images/single_family_87.jpg
3299 McLaughlin Ave,San Jose,CA,95153,2771000,1,1,1078,Apartment,property_images/apartment_images/apartment_100.jpg
8629 Senter Rd,San Jose,CA,95113,2009000,1,3,3428,Single Family,property_images/single_family_images/single_family_88.jpg
2273 Almaden Rd,San Jose,CA,95138,2813000,6,3,2815,Single Family,property_images/single_family_images/single_family_89.jpg
4447 Almaden Rd,San Jose,CA,95132,800000,3,3,3898,Single Family,property_images/single_family_images/single_family_90.jpg
4386 Mabury Rd,San Jose,CA,95137,1896000,4,2,947,Single Family,property_images/single_family_images/single_family_91.jpg
6688 Almaden Rd,San Jose,CA,95174,518000,4,3,4552,Single Family,property_images/single_family_images/single_family_92.jpg
1332 McLaughlin Ave,San Jose,CA,95140,2779000,3,4,3165,Single Family,property_images/single_family_images/single_family_93.jpg
8762 McKee Rd,San Jose,CA,95199,1261000,4,1,1416,Apartment,property_images/apartment_images/apartment_101.jpg
1908 Piedmont Rd,San Jose,CA,95169,1925000,1,1,2912,Apartment,property_images/apartment_images/apartment_102.jpg
3456 Silver Creek Valley Rd,San Jose,CA,95168,1352000,6,2,1172,Apartment,property_images/apartment_images/apartment_103.jpg
4644 South Bascom Ave,San Jose,CA,95182,1360000,4,4,4382,Single Family,property_images/single_family_images/single_family_94.jpg
5591 Senter Rd,San Jose,CA,95165,2229000,5,2,4519,Apartment,property_images/apartment_images/apartment_104.jpg
6872 Silver Creek Valley Rd,San Jose,CA,95152,2911000,5,4,3065,Single Family,property_images/single_family_images/single_family_95.jpg
2916 Brophy Ct,San Jose,CA,95185,1642000,3,2,2962,Single Family,property_images/single_family_images/single_family_96.jpg
8020 Tully Rd,San Jose,CA,95174,1334000,3,2,4257,Single Family,property_images/single_family_images/single_family_97.jpg
2580 Muirwood Dr,San Jose,CA,95163,2694000,3,4,2219,Single Family,property_images/single_family_images/single_family_98.jpg
2965 Monterey Hwy,San Jose,CA,95188,611000,6,4,3104,Apartment,property_images/apartment_images/apartment_105.jpg
9842 Berryessa Rd,San Jose,CA,95162,967000,2,2,2209,Apartment,property_images/apartment_images/apartment_106.jpg
3532 Quimby Rd,San Jose,CA,95118,1009000,5,3,1899,Apartment,property_images/apartment_images/apartment_107.jpg
2368 Pomeroy Ave,San Jose,CA,95194,513000,2,3,3810,Apartment,property_images/apartment_images/apartment_108.jpg
1792 Santa Teresa Blvd,San Jose,CA,95167,1537000,5,2,2448,Apartment,property_images/apartment_images/apartment_109.jpg
3793 Brophy Ct,San Jose,CA,95199,524000,6,4,4028,Apartment,property_images/apartment_images/apartment_110.jpg
7149 Senter Rd,San Jose,CA,95157,1017000,6,1,3988,Single Family,property_images/single_family_images/single_family_99.jpg
5319 South Bascom Ave,San Jose,CA,95158,1854000,3,2,4822,Single Family,property_images/single_family_images/single_family_100.jpg
3529 Santa Teresa Blvd,San Jose,CA,95159,636000,6,2,5000,Single Family,property_images/single_family_images/single_family_101.jpg
1606 Blossom Hill Road,San Jose,CA,95125,673000,4,1,3875,Single Family,property_images/single_family_images/single_family_102.jpg
3609 Senter Rd,San Jose,CA,95159,2917000,1,1,1839,Single Family,property_images/single_family_images/single_family_103.jpg
7457 Silver Creek Valley Rd,San Jose,CA,95144,1896000,3,1,2584,Single Family,property_images/single_family_images/single_family_104.jpg
4121 Brophy Ct,San Jose,CA,95130,2122000,6,3,2157,Single Family,property_images/single_family_images/single_family_105.jpg
5071 Muirwood Dr,San Jose,CA,95114,947000,3,4,2509,Apartment,property_images/apartment_images/apartment_111.jpg
1736 El Camino Real,San Jose,CA,95110,2725000,4,1,3046,Single Family,property_images/single_family_images/single_family_106.jpg
5999 Brophy Ct,San Jose,CA,95135,2864000,2,2,2976,Apartment,property_images/apartment_images/apartment_112.jpg
6182 South Bascom Ave,San Jose,CA,95169,1333000,3,1,4985,Apartment,property_images/apartment_images/apartment_113.jpg
3326 McLaughlin Ave,San Jose,CA,95150,597000,2,3,1384,Apartment,property_images/apartment_images/apartment_114.jpg
9588 Berryessa Rd,San Jose,CA,95188,1656000,4,2,3550,Single Family,property_images/single_family_images/single_family_107.jpg
5412 Senter Rd,San Jose,CA,95176,617000,3,1,1471,Apartment,property_images/apartment_images/apartment_115.jpg
4751 Pomeroy Ave,San Jose,CA,95194,2284000,4,1,829,Single Family,property_images/single_family_images/single_family_108.jpg
5955 King Rd,San Jose,CA,95150,676000,2,2,1942,Single Family,property_images/single_family_images/single_family_109.jpg
5370 Quimby Rd,San Jose,CA,95127,1195000,2,1,1300,Apartment,property_images/apartment_images/apartment_116.jpg
9105 Pomeroy Ave,San Jose,CA,95119,2891000,2,2,4095,Single Family,property_images/single_family_images/single_family_110.jpg
7953 Senter Rd,San Jose,CA,95118,1648000,1,1,1458,Apartment,property_images/apartment_images/apartment_117.jpg
5188 Blossom Hill Road,San Jose,CA,95112,894000,2,4,3602,Single Family,property_images/single_family_images/single_family_111.jpg
7929 Silver Creek Valley Rd,San Jose,CA,95143,1465000,1,1,1150,Single Family,property_images/single_family_images/single_family_112.jpg
3610 Mabury Rd,San Jose,CA,95138,2061000,5,1,3121,Apartment,property_images/apartment_images/apartment_118.jpg
3067 Berryessa Rd,San Jose,CA,95142,848000,6,2,1512,Single Family,property_images/single_family_images/single_family_113.jpg
3666 McLaughlin Ave,San Jose,CA,95170,2179000,6,4,3765,Single Family,property_images/single_family_images/single_family_114.jpg
1399 Lick Mill Blvd,San Jose,CA,95124,2980000,3,2,3104,Apartment,property_images/apartment_images/apartment_119.jpg
4860 Mabury Rd,San Jose,CA,95179,2492000,1,1,2954,Apartment,property_images/apartment_images/apartment_120.jpg
6391 Mabury Rd,San Jose,CA,95155,2756000,1,4,3649,Single Family,property_images/single_family_images/single_family_115.jpg
3198 Jackson Ave,San Jose,CA,95168,799000,5,3,4642,Single Family,property_images/single_family_images/single_family_116.jpg
5218 Lick Mill Blvd,San Jose,CA,95161,508000,4,1,3693,Single Family,property_images/single_family_images/single_family_117.jpg
3035 Mabury Rd,San Jose,CA,95139,2714000,1,1,4941,Single Family,property_images/single_family_images/single_family_118.jpg
