Street Address,City,State,ZIP Code,Price,Bedrooms,Bathrooms,Square Footage,Property Type,Image_Path,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_5,bedroom_6,bathroom_1,bathroom_2,bathroom_3,bathroom_4,bathroom_5,kitchen,living_room,dining,listing_type
2036 Berryessa Rd,San Jose,CA,95144,"2,800",3,3,1749,Single Family,property_images/single_family_images/single_family_5.jpg,house_detailed_images/bedroom/bed_4.jpg,house_detailed_images/bedroom/bed_16.jpg,house_detailed_images/bedroom/bed_53.jpg,,,,house_detailed_images/bathroom/bath_63.jpg,house_detailed_images/bathroom/bath_199.jpg,house_detailed_images/bathroom/bath_128.jpg,,,house_detailed_images/kitchen/kitchen_935.jpg,house_detailed_images/livingroom/living_179.jpg,house_detailed_images/dining/dining_36.jpg,Rent
4891 Blossom Hill Road,San Jose,CA,95172,"2,800",4,1,1720,Single Family,property_images/single_family_images/single_family_6.jpg,house_detailed_images/bedroom/bed_31.jpg,house_detailed_images/bedroom/bed_1.jpg,house_detailed_images/bedroom/bed_35.jpg,house_detailed_images/bedroom/bed_99.jpg,,,house_detailed_images/bathroom/bath_473.jpg,,,,,house_detailed_images/kitchen/kitchen_404.jpg,house_detailed_images/livingroom/living_89.jpg,house_detailed_images/dining/dining_126.jpg,Rent
4514 Tully Rd,San Jose,CA,95142,"1,539,200",2,2,3848,Apartment,property_images/apartment_images/apartment_7.jpg,house_detailed_images/bedroom/bed_70.jpg,house_detailed_images/bedroom/bed_77.jpg,,,,,house_detailed_images/bathroom/bath_322.jpg,house_detailed_images/bathroom/bath_15.jpg,,,,house_detailed_images/kitchen/kitchen_480.jpg,house_detailed_images/livingroom/living_392.jpg,,For Sale
8253 Blossom Hill Road,San Jose,CA,95170,"2,800",2,4,878,Apartment,property_images/apartment_images/apartment_8.jpg,house_detailed_images/bedroom/bed_76.jpg,house_detailed_images/bedroom/bed_24.jpg,,,,,house_detailed_images/bathroom/bath_347.jpg,house_detailed_images/bathroom/bath_444.jpg,house_detailed_images/bathroom/bath_131.jpg,house_detailed_images/bathroom/bath_263.jpg,,house_detailed_images/kitchen/kitchen_764.jpg,house_detailed_images/livingroom/living_456.jpg,,Rent
9573 Tully Rd,San Jose,CA,95115,"6,790",2,1,4527,Apartment,property_images/apartment_images/apartment_9.jpg,house_detailed_images/bedroom/bed_60.jpg,house_detailed_images/bedroom/bed_48.jpg,,,,,house_detailed_images/bathroom/bath_321.jpg,,,,,house_detailed_images/kitchen/kitchen_191.jpg,house_detailed_images/livingroom/living_176.jpg,,Rent
5679 Senter Rd,San Jose,CA,95136,"884,400",2,2,2211,Single Family,property_images/single_family_images/single_family_7.jpg,house_detailed_images/bedroom/bed_72.jpg,house_detailed_images/bedroom/bed_78.jpg,,,,,house_detailed_images/bathroom/bath_496.jpg,house_detailed_images/bathroom/bath_112.jpg,,,,house_detailed_images/kitchen/kitchen_564.jpg,house_detailed_images/livingroom/living_367.jpg,house_detailed_images/dining/dining_352.jpg,For Sale
1409 Monterey Hwy,San Jose,CA,95123,"6,622",3,3,4415,Apartment,property_images/apartment_images/apartment_10.jpg,house_detailed_images/bedroom/bed_45.jpg,house_detailed_images/bedroom/bed_17.jpg,house_detailed_images/bedroom/bed_11.jpg,,,,house_detailed_images/bathroom/bath_327.jpg,house_detailed_images/bathroom/bath_81.jpg,house_detailed_images/bathroom/bath_486.jpg,,,house_detailed_images/kitchen/kitchen_671.jpg,house_detailed_images/livingroom/living_231.jpg,,Rent
9993 Fairway Drive,San Jose,CA,95141,"5,964",1,4,3976,Single Family,property_images/single_family_images/single_family_8.jpg,house_detailed_images/bedroom/bed_73.jpg,,,,,,house_detailed_images/bathroom/bath_155.jpg,house_detailed_images/bathroom/bath_94.jpg,house_detailed_images/bathroom/bath_145.jpg,house_detailed_images/bathroom/bath_290.jpg,,house_detailed_images/kitchen/kitchen_39.jpg,house_detailed_images/livingroom/living_165.jpg,house_detailed_images/dining/dining_86.jpg,Rent
9628 Santa Teresa Blvd,San Jose,CA,95113,"2,800",3,4,1193,Apartment,property_images/apartment_images/apartment_11.jpg,house_detailed_images/bedroom/bed_86.jpg,house_detailed_images/bedroom/bed_14.jpg,house_detailed_images/bedroom/bed_6.jpg,,,,house_detailed_images/bathroom/bath_314.jpg,house_detailed_images/bathroom/bath_332.jpg,house_detailed_images/bathroom/bath_58.jpg,house_detailed_images/bathroom/bath_357.jpg,,house_detailed_images/kitchen/kitchen_979.jpg,house_detailed_images/livingroom/living_233.jpg,,Rent
3768 Silver Creek Valley Rd,San Jose,CA,95171,"1,838,000",6,2,4595,Single Family,property_images/single_family_images/single_family_9.jpg,house_detailed_images/bedroom/bed_96.jpg,house_detailed_images/bedroom/bed_38.jpg,house_detailed_images/bedroom/bed_34.jpg,house_detailed_images/bedroom/bed_10.jpg,house_detailed_images/bedroom/bed_9.jpg,house_detailed_images/bedroom/bed_100.jpg,house_detailed_images/bathroom/bath_97.jpg,house_detailed_images/bathroom/bath_304.jpg,,,,house_detailed_images/kitchen/kitchen_389.jpg,house_detailed_images/livingroom/living_380.jpg,house_detailed_images/dining/dining_268.jpg,For Sale
4624 King Rd,San Jose,CA,95127,"4,016",6,1,2677,Apartment,property_images/apartment_images/apartment_12.jpg,house_detailed_images/bedroom/bed_47.jpg,house_detailed_images/bedroom/bed_33.jpg,house_detailed_images/bedroom/bed_2.jpg,house_detailed_images/bedroom/bed_74.jpg,house_detailed_images/bedroom/bed_90.jpg,house_detailed_images/bedroom/bed_62.jpg,house_detailed_images/bathroom/bath_362.jpg,,,,,house_detailed_images/kitchen/kitchen_626.jpg,house_detailed_images/livingroom/living_281.jpg,,Rent
3024 McLaughlin Ave,San Jose,CA,95180,"6,705",1,4,4470,Apartment,property_images/apartment_images/apartment_13.jpg,house_detailed_images/bedroom/bed_91.jpg,,,,,,house_detailed_images/bathroom/bath_352.jpg,house_detailed_images/bathroom/bath_7.jpg,house_detailed_images/bathroom/bath_134.jpg,house_detailed_images/bathroom/bath_419.jpg,,house_detailed_images/kitchen/kitchen_455.jpg,house_detailed_images/livingroom/living_445.jpg,,Rent
7744 McKee Rd,San Jose,CA,95190,"1,282,400",6,1,3206,Apartment,property_images/apartment_images/apartment_14.jpg,house_detailed_images/bedroom/bed_28.jpg,house_detailed_images/bedroom/bed_42.jpg,house_detailed_images/bedroom/bed_7.jpg,house_detailed_images/bedroom/bed_56.jpg,house_detailed_images/bedroom/bed_44.jpg,house_detailed_images/bedroom/bed_87.jpg,house_detailed_images/bathroom/bath_80.jpg,,,,,house_detailed_images/kitchen/kitchen_780.jpg,house_detailed_images/livingroom/living_70.jpg,,For Sale
5733 Jackson Ave,San Jose,CA,95157,"2,800",6,4,1507,Single Family,property_images/single_family_images/single_family_10.jpg,house_detailed_images/bedroom/bed_27.jpg,house_detailed_images/bedroom/bed_94.jpg,house_detailed_images/bedroom/bed_67.jpg,house_detailed_images/bedroom/bed_5.jpg,house_detailed_images/bedroom/bed_52.jpg,house_detailed_images/bedroom/bed_18.jpg,house_detailed_images/bathroom/bath_192.jpg,house_detailed_images/bathroom/bath_434.jpg,house_detailed_images/bathroom/bath_428.jpg,house_detailed_images/bathroom/bath_409.jpg,,house_detailed_images/kitchen/kitchen_477.jpg,house_detailed_images/livingroom/living_296.jpg,house_detailed_images/dining/dining_100.jpg,Rent
9332 El Camino Real,San Jose,CA,95186,"1,447,600",1,1,3619,Single Family,property_images/single_family_images/single_family_11.jpg,house_detailed_images/bedroom/bed_92.jpg,,,,,,house_detailed_images/bathroom/bath_39.jpg,,,,,house_detailed_images/kitchen/kitchen_258.jpg,house_detailed_images/livingroom/living_113.jpg,house_detailed_images/dining/dining_263.jpg,For Sale
7585 Monterey Hwy,San Jose,CA,95193,"2,800",2,4,1382,Apartment,property_images/apartment_images/apartment_15.jpg,house_detailed_images/bedroom/bed_15.jpg,house_detailed_images/bedroom/bed_89.jpg,,,,,house_detailed_images/bathroom/bath_77.jpg,house_detailed_images/bathroom/bath_481.jpg,house_detailed_images/bathroom/bath_76.jpg,house_detailed_images/bathroom/bath_32.jpg,,house_detailed_images/kitchen/kitchen_983.jpg,house_detailed_images/livingroom/living_351.jpg,,Rent
4526 Tully Rd,San Jose,CA,95138,"1,125,600",4,1,2814,Single Family,property_images/single_family_images/single_family_12.jpg,house_detailed_images/bedroom/bed_19.jpg,house_detailed_images/bedroom/bed_66.jpg,house_detailed_images/bedroom/bed_41.jpg,house_detailed_images/bedroom/bed_20.jpg,,,house_detailed_images/bathroom/bath_326.jpg,,,,,house_detailed_images/kitchen/kitchen_745.jpg,house_detailed_images/livingroom/living_362.jpg,house_detailed_images/dining/dining_372.jpg,For Sale
6196 Jackson Ave,San Jose,CA,95198,"646,000",1,2,1615,Apartment,property_images/apartment_images/apartment_16.jpg,house_detailed_images/bedroom/bed_85.jpg,,,,,,house_detailed_images/bathroom/bath_171.jpg,house_detailed_images/bathroom/bath_404.jpg,,,,house_detailed_images/kitchen/kitchen_662.jpg,house_detailed_images/livingroom/living_166.jpg,,For Sale
1303 Piedmont Rd,San Jose,CA,95185,"4,818",3,1,3212,Apartment,property_images/apartment_images/apartment_17.jpg,house_detailed_images/bedroom/bed_68.jpg,house_detailed_images/bedroom/bed_57.jpg,house_detailed_images/bedroom/bed_23.jpg,,,,house_detailed_images/bathroom/bath_197.jpg,,,,,house_detailed_images/kitchen/kitchen_184.jpg,house_detailed_images/livingroom/living_201.jpg,,Rent
5449 Almaden Rd,San Jose,CA,95142,"768,400",5,3,1921,Apartment,property_images/apartment_images/apartment_18.jpg,house_detailed_images/bedroom/bed_54.jpg,house_detailed_images/bedroom/bed_37.jpg,house_detailed_images/bedroom/bed_98.jpg,house_detailed_images/bedroom/bed_81.jpg,house_detailed_images/bedroom/bed_21.jpg,,house_detailed_images/bathroom/bath_292.jpg,house_detailed_images/bathroom/bath_396.jpg,house_detailed_images/bathroom/bath_356.jpg,,,house_detailed_images/kitchen/kitchen_294.jpg,house_detailed_images/livingroom/living_15.jpg,,For Sale
4666 El Camino Real,San Jose,CA,95132,"1,112,400",1,1,2781,Single Family,property_images/single_family_images/single_family_13.jpg,house_detailed_images/bedroom/bed_75.jpg,,,,,,house_detailed_images/bathroom/bath_188.jpg,,,,,house_detailed_images/kitchen/kitchen_172.jpg,house_detailed_images/livingroom/living_274.jpg,house_detailed_images/dining/dining_151.jpg,For Sale
3011 Lelong St,San Jose,CA,95122,"1,554,400",4,3,3886,Apartment,property_images/apartment_images/apartment_19.jpg,house_detailed_images/bedroom/bed_50.jpg,house_detailed_images/bedroom/bed_80.jpg,house_detailed_images/bedroom/bed_83.jpg,house_detailed_images/bedroom/bed_64.jpg,,,house_detailed_images/bathroom/bath_16.jpg,house_detailed_images/bathroom/bath_217.jpg,house_detailed_images/bathroom/bath_447.jpg,,,house_detailed_images/kitchen/kitchen_344.jpg,house_detailed_images/livingroom/living_219.jpg,,For Sale
9387 Berryessa Rd,San Jose,CA,95180,"5,080",2,4,3387,Apartment,property_images/apartment_images/apartment_20.jpg,house_detailed_images/bedroom/bed_59.jpg,house_detailed_images/bedroom/bed_26.jpg,,,,,house_detailed_images/bathroom/bath_412.jpg,house_detailed_images/bathroom/bath_239.jpg,house_detailed_images/bathroom/bath_256.jpg,house_detailed_images/bathroom/bath_408.jpg,,house_detailed_images/kitchen/kitchen_127.jpg,house_detailed_images/livingroom/living_419.jpg,,Rent
3394 Jackson Ave,San Jose,CA,95116,"612,000",1,2,1530,Single Family,property_images/single_family_images/single_family_14.jpg,house_detailed_images/bedroom/bed_65.jpg,,,,,,house_detailed_images/bathroom/bath_376.jpg,house_detailed_images/bathroom/bath_475.jpg,,,,house_detailed_images/kitchen/kitchen_832.jpg,house_detailed_images/livingroom/living_244.jpg,house_detailed_images/dining/dining_482.jpg,For Sale
5766 El Camino Real,San Jose,CA,95137,"6,898",3,1,4599,Apartment,property_images/apartment_images/apartment_21.jpg,house_detailed_images/bedroom/bed_32.jpg,house_detailed_images/bedroom/bed_30.jpg,house_detailed_images/bedroom/bed_25.jpg,,,,house_detailed_images/bathroom/bath_173.jpg,,,,,house_detailed_images/kitchen/kitchen_909.jpg,house_detailed_images/livingroom/living_63.jpg,,Rent
3636 McKee Rd,San Jose,CA,95152,"1,866,400",3,1,4666,Apartment,property_images/apartment_images/apartment_22.jpg,house_detailed_images/bedroom/bed_79.jpg,house_detailed_images/bedroom/bed_36.jpg,house_detailed_images/bedroom/bed_40.jpg,,,,house_detailed_images/bathroom/bath_215.jpg,,,,,house_detailed_images/kitchen/kitchen_476.jpg,house_detailed_images/livingroom/living_181.jpg,,For Sale
2228 Mabury Rd,San Jose,CA,95175,"970,400",1,3,2426,Single Family,property_images/single_family_images/single_family_15.jpg,house_detailed_images/bedroom/bed_93.jpg,,,,,,house_detailed_images/bathroom/bath_117.jpg,house_detailed_images/bathroom/bath_359.jpg,house_detailed_images/bathroom/bath_298.jpg,,,house_detailed_images/kitchen/kitchen_336.jpg,house_detailed_images/livingroom/living_84.jpg,house_detailed_images/dining/dining_497.jpg,For Sale
2992 Brophy Ct,San Jose,CA,95144,"4,161",4,3,2774,Single Family,property_images/single_family_images/single_family_16.jpg,house_detailed_images/bedroom/bed_49.jpg,house_detailed_images/bedroom/bed_13.jpg,house_detailed_images/bedroom/bed_82.jpg,house_detailed_images/bedroom/bed_29.jpg,,,house_detailed_images/bathroom/bath_354.jpg,house_detailed_images/bathroom/bath_289.jpg,house_detailed_images/bathroom/bath_333.jpg,,,house_detailed_images/kitchen/kitchen_811.jpg,house_detailed_images/livingroom/living_107.jpg,house_detailed_images/dining/dining_435.jpg,Rent
5912 King Rd,San Jose,CA,95153,"1,893,600",6,4,4734,Apartment,property_images/apartment_images/apartment_23.jpg,house_detailed_images/bedroom/bed_51.jpg,house_detailed_images/bedroom/bed_43.jpg,house_detailed_images/bedroom/bed_22.jpg,house_detailed_images/bedroom/bed_46.jpg,house_detailed_images/bedroom/bed_8.jpg,house_detailed_images/bedroom/bed_39.jpg,house_detailed_images/bathroom/bath_262.jpg,house_detailed_images/bathroom/bath_339.jpg,house_detailed_images/bathroom/bath_160.jpg,house_detailed_images/bathroom/bath_195.jpg,,house_detailed_images/kitchen/kitchen_823.jpg,house_detailed_images/livingroom/living_313.jpg,,For Sale
4887 Quimby Rd,San Jose,CA,95113,"1,616,800",5,4,4042,Apartment,property_images/apartment_images/apartment_24.jpg,house_detailed_images/bedroom/bed_63.jpg,house_detailed_images/bedroom/bed_97.jpg,house_detailed_images/bedroom/bed_95.jpg,house_detailed_images/bedroom/bed_69.jpg,house_detailed_images/bedroom/bed_84.jpg,,house_detailed_images/bathroom/bath_369.jpg,house_detailed_images/bathroom/bath_235.jpg,house_detailed_images/bathroom/bath_210.jpg,house_detailed_images/bathroom/bath_55.jpg,,house_detailed_images/kitchen/kitchen_727.jpg,house_detailed_images/livingroom/living_329.jpg,,For Sale
5782 Tully Rd,San Jose,CA,95146,"1,079,600",2,3,2699,Single Family,property_images/single_family_images/single_family_17.jpg,house_detailed_images/bedroom/bed_3.jpg,house_detailed_images/bedroom/bed_61.jpg,,,,,house_detailed_images/bathroom/bath_345.jpg,house_detailed_images/bathroom/bath_279.jpg,house_detailed_images/bathroom/bath_29.jpg,,,house_detailed_images/kitchen/kitchen_606.jpg,house_detailed_images/livingroom/living_321.jpg,house_detailed_images/dining/dining_423.jpg,For Sale
8601 Blossom Hill Road,San Jose,CA,95113,"1,757,600",5,4,4394,Single Family,property_images/single_family_images/single_family_18.jpg,house_detailed_images/bedroom/bed_71.jpg,house_detailed_images/bedroom/bed_12.jpg,house_detailed_images/bedroom/bed_55.jpg,house_detailed_images/bedroom/bed_58.jpg,house_detailed_images/bedroom/bed_88.jpg,,house_detailed_images/bathroom/bath_268.jpg,house_detailed_images/bathroom/bath_82.jpg,house_detailed_images/bathroom/bath_129.jpg,house_detailed_images/bathroom/bath_84.jpg,,house_detailed_images/kitchen/kitchen_235.jpg,house_detailed_images/livingroom/living_195.jpg,house_detailed_images/dining/dining_368.jpg,For Sale
1902 Fairway Drive,San Jose,CA,95194,"6,588",2,1,4392,Apartment,property_images/apartment_images/apartment_25.jpg,house_detailed_images/bedroom/bed_4.jpg,house_detailed_images/bedroom/bed_16.jpg,,,,,house_detailed_images/bathroom/bath_494.jpg,,,,,house_detailed_images/kitchen/kitchen_522.jpg,house_detailed_images/livingroom/living_338.jpg,,Rent
2416 Tully Rd,San Jose,CA,95164,"3,819",6,3,2546,Apartment,property_images/apartment_images/apartment_26.jpg,house_detailed_images/bedroom/bed_53.jpg,house_detailed_images/bedroom/bed_31.jpg,house_detailed_images/bedroom/bed_1.jpg,house_detailed_images/bedroom/bed_35.jpg,house_detailed_images/bedroom/bed_99.jpg,house_detailed_images/bedroom/bed_70.jpg,house_detailed_images/bathroom/bath_318.jpg,house_detailed_images/bathroom/bath_303.jpg,house_detailed_images/bathroom/bath_224.jpg,,,house_detailed_images/kitchen/kitchen_919.jpg,house_detailed_images/livingroom/living_442.jpg,,Rent
4521 King Rd,San Jose,CA,95184,"1,646,400",1,2,4116,Single Family,property_images/single_family_images/single_family_19.jpg,house_detailed_images/bedroom/bed_77.jpg,,,,,,house_detailed_images/bathroom/bath_373.jpg,house_detailed_images/bathroom/bath_312.jpg,,,,house_detailed_images/kitchen/kitchen_239.jpg,house_detailed_images/livingroom/living_154.jpg,house_detailed_images/dining/dining_275.jpg,For Sale
2080 Mabury Rd,San Jose,CA,95180,"2,800",4,3,820,Single Family,property_images/single_family_images/single_family_20.jpg,house_detailed_images/bedroom/bed_76.jpg,house_detailed_images/bedroom/bed_24.jpg,house_detailed_images/bedroom/bed_60.jpg,house_detailed_images/bedroom/bed_48.jpg,,,house_detailed_images/bathroom/bath_305.jpg,house_detailed_images/bathroom/bath_177.jpg,house_detailed_images/bathroom/bath_315.jpg,,,house_detailed_images/kitchen/kitchen_906.jpg,house_detailed_images/livingroom/living_173.jpg,house_detailed_images/dining/dining_351.jpg,Rent
9866 South Bascom Ave,San Jose,CA,95197,"937,600",2,4,2344,Single Family,property_images/single_family_images/single_family_21.jpg,house_detailed_images/bedroom/bed_72.jpg,house_detailed_images/bedroom/bed_78.jpg,,,,,house_detailed_images/bathroom/bath_260.jpg,house_detailed_images/bathroom/bath_218.jpg,house_detailed_images/bathroom/bath_118.jpg,house_detailed_images/bathroom/bath_382.jpg,,house_detailed_images/kitchen/kitchen_931.jpg,house_detailed_images/livingroom/living_62.jpg,house_detailed_images/dining/dining_241.jpg,For Sale
2809 Tully Rd,San Jose,CA,95171,"6,075",1,2,4050,Apartment,property_images/apartment_images/apartment_27.jpg,house_detailed_images/bedroom/bed_45.jpg,,,,,,house_detailed_images/bathroom/bath_10.jpg,house_detailed_images/bathroom/bath_208.jpg,,,,house_detailed_images/kitchen/kitchen_870.jpg,house_detailed_images/livingroom/living_352.jpg,,Rent
6026 Tully Rd,San Jose,CA,95137,"4,894",3,2,3263,Apartment,property_images/apartment_images/apartment_28.jpg,house_detailed_images/bedroom/bed_17.jpg,house_detailed_images/bedroom/bed_11.jpg,house_detailed_images/bedroom/bed_73.jpg,,,,house_detailed_images/bathroom/bath_41.jpg,house_detailed_images/bathroom/bath_31.jpg,,,,house_detailed_images/kitchen/kitchen_946.jpg,house_detailed_images/livingroom/living_215.jpg,,Rent
7883 Pomeroy Ave,San Jose,CA,95117,"2,800",3,4,1122,Single Family,property_images/single_family_images/single_family_22.jpg,house_detailed_images/bedroom/bed_86.jpg,house_detailed_images/bedroom/bed_14.jpg,house_detailed_images/bedroom/bed_6.jpg,,,,house_detailed_images/bathroom/bath_499.jpg,house_detailed_images/bathroom/bath_418.jpg,house_detailed_images/bathroom/bath_388.jpg,house_detailed_images/bathroom/bath_90.jpg,,house_detailed_images/kitchen/kitchen_47.jpg,house_detailed_images/livingroom/living_364.jpg,house_detailed_images/dining/dining_359.jpg,Rent
9301 South Bascom Ave,San Jose,CA,95141,"5,685",3,2,3790,Apartment,property_images/apartment_images/apartment_29.jpg,house_detailed_images/bedroom/bed_96.jpg,house_detailed_images/bedroom/bed_38.jpg,house_detailed_images/bedroom/bed_34.jpg,,,,house_detailed_images/bathroom/bath_181.jpg,house_detailed_images/bathroom/bath_450.jpg,,,,house_detailed_images/kitchen/kitchen_996.jpg,house_detailed_images/livingroom/living_189.jpg,,Rent
2961 Brophy Ct,San Jose,CA,95116,"764,000",3,4,1910,Single Family,property_images/single_family_images/single_family_23.jpg,house_detailed_images/bedroom/bed_10.jpg,house_detailed_images/bedroom/bed_9.jpg,house_detailed_images/bedroom/bed_100.jpg,,,,house_detailed_images/bathroom/bath_374.jpg,house_detailed_images/bathroom/bath_469.jpg,house_detailed_images/bathroom/bath_280.jpg,house_detailed_images/bathroom/bath_62.jpg,,house_detailed_images/kitchen/kitchen_341.jpg,house_detailed_images/livingroom/living_324.jpg,house_detailed_images/dining/dining_314.jpg,For Sale
2090 Pomeroy Ave,San Jose,CA,95173,"2,800",1,4,1668,Single Family,property_images/single_family_images/single_family_24.jpg,house_detailed_images/bedroom/bed_47.jpg,,,,,,house_detailed_images/bathroom/bath_70.jpg,house_detailed_images/bathroom/bath_74.jpg,house_detailed_images/bathroom/bath_291.jpg,house_detailed_images/bathroom/bath_348.jpg,,house_detailed_images/kitchen/kitchen_834.jpg,house_detailed_images/livingroom/living_312.jpg,house_detailed_images/dining/dining_379.jpg,Rent
5710 Quimby Rd,San Jose,CA,95112,"1,310,000",1,3,3275,Apartment,property_images/apartment_images/apartment_30.jpg,house_detailed_images/bedroom/bed_33.jpg,,,,,,house_detailed_images/bathroom/bath_337.jpg,house_detailed_images/bathroom/bath_153.jpg,house_detailed_images/bathroom/bath_313.jpg,,,house_detailed_images/kitchen/kitchen_450.jpg,house_detailed_images/livingroom/living_146.jpg,,For Sale
